ID,Created,Name,Description,Playlist URL
c2a620a79ec2411abf35a1d80348d06b,2025-03-03T00:46:13Z,Can Openers,Songs that were the first track on an album,https://open.spotify.com/playlist/2ievyieWski9zKu0XThEub
3e29493f7e084b61aeeec119e7aef9a6,2025-03-03T00:46:14Z,1990s,Songs released in the 1990s,https://open.spotify.com/playlist/1gnfQ3WfIY6jVem6WhYWgO
79cd9f09d16241e6ba66dd159b5ada5a,2025-03-03T00:46:14Z,Deep Cuts,Songs that are not well-known by artists who are very well-known,https://open.spotify.com/playlist/1DL3n2xjm4qAFQXuHVR7yG
8a72860ff5704c1091fbfd3745f2d639,2025-03-03T00:46:14Z,Colors,Songs that have a color in the title,https://open.spotify.com/playlist/38Wt8kjnotn0HgG1due91P
